VarNumber,  VarName,            DataType,   Unit,       Description
176,        SystemTime,         DINT,       [ms],       Sample time in milliseconds since power on
31,         SensorTemp,         REAL,       [DegC],     Sensor house temprature     
9,          AngRate_D,          REAL,       [rad/s],    Angular rate in Down direction (h-frame). Turn Rate
63,         Roll,               REAL,       [rad],      Roll angle (euler angle)
64,         Pitch,              REAL,       [rad],      Pitch angle (euler angle)
65,         Yaw,                REAL,       [rad],      Yaw angle (euler angle)
1,          AngRate_R,          REAL,       [rad/s],    Angular rate in roll axis (b-frame)
2,          AngRate_P,          REAL,       [rad/s],    Angular rate in pitch axis (b-frame)
3,          AngRate_Y,          REAL,       [rad/s],    Angular rate in yaw axis (b-frame)
244,        VelMru_R,           REAL,       [m/s],      Linear velocity at MRU point in R-direction (b-frame)
245,        VelMru_P,           REAL,       [m/s],      Linear velocity at MRU point in P-direction (b-frame)
246,        VelMru_Y,           REAL,       [m/s],      Linear velocity at MRU point in Y-direction (b-frame)
238,        AccMru_R,           REAL,       [m/s],      Linear acceleration at MRU point in R-direction (b-frame)
239,        AccMru_P,           REAL,       [m/s],      Linear acceleration at MRU point in P-direction (b-frame)
240,        AccMru_Y,           REAL,       [m/s],      Linear acceleration at MRU point in Y-direction (b-frame)
274,        PosCg_F,            REAL,       [m],        Linear position at CG in forward direction (h-frame)
275,        PosCg_S,            REAL,       [m],        Linear position at CG in starboard direction (h-frame)
276,        PosCg_D,            REAL,       [m],        Linear position at CG in down direction (h-frame)
262,        VelCg_F,            REAL,       [m/s],      Linear velocity at CG in forward direction (h-frame)
263,        VelCg_S,            REAL,       [m/s],      Linear velocity at CG in starboard direction (h-frame)
264,        VelCg_D,            REAL,       [m/s],      Linear velocity at CG in down direction (h-frame)
250,        AccCg_F,            REAL,       [m/s2],     Linear acceleration (raw/unfiltered) at CG in forward direction (h-frame)
251,        AccCg_S,            REAL,       [m/s2],     Linear acceleration (raw/unfiltered) at CG in starboard direction (h-frame)
252,        AccCg_D,            REAL,       [m/s2],     Linear acceleration (raw/unfiltered) at CG in down direction (h-frame)
